Quantita Prodotto A;Quantita Prodotto B;Quantita Prodotto C;Tempo per unita Prodotto A;Tempo per unita  Prodotto B;Tempo per unita Prodotto C;Capacita giornaliera Prodotto A;Capacita giornaliera Prodotto B;Capacita giornaliera Prodotto C;Capacita complessiva;Probabilita guasto;Guasto Macchina A;Guasto Macchina B;Guasto Macchina C;Ore di fermo Macchina A;Ore di fermo Macchina B;Ore di fermo Macchina C;Ore ritardo approvvigionamento;Giorni minimi per capacita complessiva;Giorni minimi per capacita  del prodotto;Giorni effettivi produzione lotto;Tempo totale di produzione lotto
13;15;11;2.48;2.17;2.27;20;29;19;26;0.04;NO;NO;NO;0;0;0;2.3;1.5;0.65;1.36;1.6
14;19;17;2.3;1.19;2.43;24;30;25;21;0.05;NO;NO;NO;0;0;0;2.58;2.38;0.68;1.72;2.49
12;11;14;1.54;2.56;2.37;30;21;22;22;0.03;NO;NO;NO;0;0;0;2.11;1.68;0.64;1.38;1.77
19;15;15;2.7;2.1;1.1;16;15;25;25;0.03;NO;NO;NO;0;0;0;2.93;1.96;1.19;2.14;2.26
18;18;13;1.65;2.71;2.65;21;23;15;37;0.04;NO;NO;NO;0;0;0;2.93;1.32;0.87;2.03;2.15
11;19;10;1.1;1.52;2.58;24;20;27;22;0.02;NO;NO;NO;0;0;0;1.89;1.82;0.95;1.2;1.9
10;20;17;1.75;1.98;2.66;19;18;27;22;0.01;NO;NO;NO;0;0;0;2.21;2.14;1.11;1.88;2.23
18;13;20;1.82;2.78;1.22;27;24;20;40;0.05;NO;NO;NO;0;0;0;1.25;1.27;1.0;1.51;1.56
18;11;17;2.42;2.38;1.95;28;22;30;22;0.03;NO;NO;NO;0;0;0;3.0;2.09;0.64;1.82;2.22
13;17;12;2.78;2.38;1.58;20;22;16;32;0.04;NO;NO;NO;0;0;0;1.98;1.31;0.77;1.69;1.77
16;12;20;1.72;1.53;2.3;16;19;16;36;0.03;NO;NO;NO;0;0;0;1.42;1.33;1.25;1.92;1.98
18;16;15;1.76;2.08;2.12;26;21;23;26;0.04;NO;SI;NO;0;0.21;0;1.17;1.88;0.76;1.4;1.93
14;16;15;2.34;2.11;1.35;30;23;21;40;0.02;NO;NO;NO;0;0;0;1.29;1.12;0.71;1.41;1.46
20;14;13;1.04;2.34;2.0;16;20;17;20;0.05;NO;NO;NO;0;0;0;1.29;2.35;1.25;1.36;2.4
20;18;11;1.51;2.77;2.45;26;24;25;40;0.05;NO;NO;NO;0;0;0;2.8;1.23;0.77;2.08;2.19
18;13;15;2.6;2.76;1.75;20;24;18;38;0.04;NO;NO;NO;0;0;0;2.57;1.21;0.9;1.95;2.06
19;20;18;1.01;2.77;1.03;29;22;26;27;0.03;NO;NO;NO;0;0;0;2.12;2.11;0.91;2.31;2.4
13;14;13;2.39;2.76;2.93;28;15;21;34;0.03;NO;NO;NO;0;0;0;1.63;1.18;0.93;1.61;1.68
12;20;20;2.11;2.95;2.87;27;17;25;40;0.03;NO;NO;NO;0;0;0;2.81;1.3;1.18;2.46;2.58
12;11;18;1.64;1.16;2.49;27;17;17;28;0.04;NO;NO;NO;0;0;0;2.7;1.46;1.06;1.87;1.98
19;18;13;1.34;2.07;2.61;19;20;30;31;0.02;NO;NO;NO;0;0;0;2.06;1.61;1.0;1.55;1.7
18;12;20;2.54;2.24;2.67;21;19;15;33;0.02;NO;NO;NO;0;0;0;1.05;1.52;1.33;2.23;2.27
12;17;13;2.66;1.49;1.51;23;24;27;34;0.02;NO;SI;NO;0;0.22;0;1.33;1.24;0.71;1.33;1.39
15;11;11;2.04;2.01;1.63;30;20;19;37;0.05;NO;NO;NO;0;0;0;1.42;1.0;0.58;1.28;1.33
20;16;18;2.34;2.57;1.53;15;22;17;35;0.02;NO;NO;NO;0;0;0;1.8;1.54;1.33;1.95;2.02
